BROAD_ID	CPD_NAME	CPD_NAME_TYPE	CPD_SAMPLE_ID	DOS_LIBRARY	SOURCE_NAME	CHEMIST_NAME	VENDOR_CATALOG_ID	CPD_SMILES	USERCOMMENT	pert_id	pert_iname
BRD-K95237249-001-04-2	probenecid	INN	SA58434	NA	MicroSource Discovery Systems Inc.	NA	1500502	CCCN(CCC)S(=O)(=O)c1ccc(cc1)C(O)=O	NA	BRD-K95237249	probenecid
BRD-A71816415-236-02-7	pravastatin	INN	SA58775	NA	MicroSource Discovery Systems Inc.	NA	1505803	CCC(C)C(=O)O[C@H]1C[C@H](O)C=C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC(O)=O)C12	NA	BRD-A71816415	pravastatin
BRD-A56987319-001-03-8	SQ-22536	primary-common	SA82342	NA	Biomol International Inc.	NA	CN-140	Nc1ncnc2n(cnc12)C1CCCO1	NA	BRD-A56987319	SQ-22536
BRD-A95939040-008-03-3	sertaconazole	INN	SA83795	NA	Prestwick Chemical Inc.	NA	Prestw-1045	Clc1ccc(C(Cn2ccnc2)OCc2csc3c(Cl)cccc23)c(Cl)c1	NA	BRD-A95939040	sertaconazole
BRD-A94709349-001-02-6	metaxalone	INN	SA59546	NA	MicroSource Discovery Systems Inc.	NA	1504229	Cc1cc(C)cc(OCC2CNC(=O)O2)c1	NA	BRD-A94709349	metaxalone
BRD-A57382968-001-06-8	piroxicam	INN	SA82316	NA	Biomol International Inc.	NA	EI219	CN1C(C(=O)Nc2ccccn2)C(=O)c2ccccc2S1(=O)=O	NA	BRD-A57382968	piroxicam
BRD-A90490067-001-01-9	BRD-A90490067	BROAD_CPD_ID	SA792300	NA	Tocris Bioscience	NA	1047	CC12CCC3C(C1CCC2O)C(CCCCCCCCCS(=O)CCCC(F)(F)C(F)(F)F)Cc1cc(O)ccc31	NA	BRD-A90490067	fulvestrant
BRD-A95513702-001-02-2	androsta-1,4-dien-3,17-dione	to-be-curated	SA59670	NA	MicroSource Discovery Systems Inc.	NA	1701001	C[C@]12CCC3C(CCC4=CC(=O)C=C[C@]34C)C1CCC2=O	NA	BRD-A95513702	androsta-1,4-dien-3,17-dione
BRD-K89055274-048-03-7	alverine	INN	SA58170	NA	MicroSource Discovery Systems Inc.	NA	1500109	CCN(CCCc1ccccc1)CCCc1ccccc1	NA	BRD-K89055274	alverine
BRD-K13261168-001-01-4	LY-163,502	to-be-curated	SA82614	NA	Biomol International Inc.	NA	AC-756	CCCN1CCC[C@@H]2Cc3nc(N)ncc3C[C@@H]12	NA	BRD-K13261168	quinelorane
BRD-K08554278-001-02-4	Hoechst 33342	primary-common	SA82262	NA	Biomol International Inc.	NA	GR-303	CCOc1ccc(cc1)-c1nc2cc(ccc2[nH]1)-c1nc2cc(ccc2[nH]1)N1CCN(C)CC1	NA	BRD-K08554278	bisbenzimide
BRD-A91992993-001-01-2	siguazodan	to-be-curated	SA792367	NA	Tocris Bioscience	NA	1148	CNC(NC#N)=Nc1ccc(cc1)C1=NNC(=O)CC1C	NA	BRD-A91992993	siguazodan
BRD-K90553655-001-03-6	testosterone propionate	USAN	SA83062	NA	Prestwick Chemical Inc.	NA	Prestw-401	CCC(=O)O[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C	NA	BRD-K90553655	testosterone
BRD-A68281735-001-02-0	REV-5901	primary-common	SA63076	NA	Biomol International Inc.	NA	EI209-0010	CCCCCC(O)c1cccc(OCc2ccc3ccccc3n2)c1	NA	BRD-A68281735	REV-5901
BRD-A79981887-003-04-0	midodrine	INN	SA59465	NA	MicroSource Discovery Systems Inc.	NA	1503257	COc1ccc(OC)c(c1)C(O)CNC(=O)CN	NA	BRD-A79981887	midodrine
BRD-K96362535-001-02-4	dihydro-beta-tubaic acid	primary-common	SA59678	NA	MicroSource Discovery Systems Inc.	NA	211531	COc1c2CCC(C)(C)Oc2ccc1C(O)=O	NA	BRD-K96362535	tubaic-acid
BRD-A55393291-001-02-4	testosterone	INN	SA58667	NA	MicroSource Discovery Systems Inc.	NA	307023	C[C@]12CCC3C(CCC4=CC(=O)CC[C@]34C)C1CC[C@@H]2O	NA	BRD-A55393291	testosterone
BRD-A49358627-001-03-9	ciprofibrate	INN	SA83680	NA	Prestwick Chemical Inc.	NA	Prestw-1076	CC(C)(Oc1ccc(cc1)C1CC1(Cl)Cl)C(O)=O	NA	BRD-A49358627	ciprofibrate
BRD-A61793559-001-04-0	metolazone	INN	SA58801	NA	MicroSource Discovery Systems Inc.	NA	2300325	CC1Nc2cc(Cl)c(cc2C(=O)N1c1ccccc1C)S(N)(=O)=O	NA	BRD-A61793559	metolazone
BRD-K95309561-001-04-9	dienestrol	INN	SA58269	NA	MicroSource Discovery Systems Inc.	NA	1500241	C\C=C(c1ccc(O)cc1)\C(c1ccc(O)cc1)=C\C	NA	BRD-K95309561	dienestrol
BRD-A58207013-001-01-2	pinacidil	to-be-curated	SA792516	NA	Tocris Bioscience	NA	1503	CC(NC(Nc1ccncc1)=NC#N)C(C)(C)C	NA	BRD-A58207013	pinacidil
BRD-A50675702-001-03-0	fipronil	USP	SA82069	NA	Biomol International Inc.	NA	CM-102	Nc1c(c(nn1-c1c(Cl)cc(cc1Cl)C(F)(F)F)C#N)S(=O)C(F)(F)F	NA	BRD-A50675702	fipronil
BRD-A95445494-001-02-9	maackiain	primary-common	SA37977	NA	AnalytiCon Discovery GmbH	NA	NP-005240	Oc1ccc2C3Oc4cc5OCOc5cc4C3COc2c1	NA	BRD-A95445494	maackiain
BRD-A78877355-003-03-6	nefopam	INN	SA83020	NA	Prestwick Chemical Inc.	NA	Prestw-229	CN1CCOC(c2ccccc2)c2ccccc2C1	NA	BRD-A78877355	nefopam
BRD-K79366068-236-01-5	PSB 069	to-be-curated	SA792926	NA	Tocris Bioscience	NA	2573	Nc1c(cc(Nc2ccc(Cl)cc2)c2C(=O)c3ccccc3C(=O)c12)S(O)(=O)=O	NA	BRD-K79366068	PSB-069
BRD-K92015269-001-01-6	GBR 12783	to-be-curated	SA82643	NA	Biomol International Inc.	NA	AC-271	C(CN1CCN(C\C=C\c2ccccc2)CC1)OC(c1ccccc1)c1ccccc1	NA	BRD-K92015269	GBR-12783
BRD-K91263825-001-02-8	nortriptyline	INN	SA58406	NA	MicroSource Discovery Systems Inc.	NA	1500442	CNCCC=C1c2ccccc2CCc2ccccc12	NA	BRD-K91263825	nortriptyline
BRD-K78838262-001-02-4	austricine	common	SA59508	NA	MicroSource Discovery Systems Inc.	NA	1504139	C[C@H]1[C@H]2[C@H](OC1=O)[C@@H]1C(C)=CC(=O)C1=C(C)C[C@@H]2O	NA	BRD-K78838262	austricine
BRD-A96820077-008-02-2	ungerine	primary-common	SA82901	NA	Prestwick Chemical Inc.	NA	Prestw-689	CO[C@H]1C=C2CCN(C)[C@H]2C2[C@@H]1OC(=O)c1cc3OCOc3cc21	NA	BRD-A96820077	ungerine
BRD-A54029483-001-01-5	IRL-2500	to-be-curated	SA792647	NA	Tocris Bioscience	NA	1838	CN(C(Cc1ccc(cc1)-c1ccccc1)C(=O)NC(Cc1c[nH]c2ccccc12)C(O)=O)C(=O)c1cc(C)cc(C)c1	NA	BRD-A54029483	IRL-2500
BRD-K84595254-001-03-0	strophanthidin	primary-common	SA82821	NA	Prestwick Chemical Inc.	NA	Prestw-710	C[C@]12CC[C@H]3[C@@H](CC[C@]4(O)C[C@@H](O)CC[C@]34C=O)[C@@]1(O)CC[C@@H]2C1=CC(=O)OC1	NA	BRD-K84595254	strophanthidin
BRD-K81209159-001-02-9	herniarin	primary-common	SA36520	NA	AnalytiCon Discovery GmbH	NA	NP-000391	COc1ccc2ccc(=O)oc2c1	NA	BRD-K81209159	herniarin
BRD-K10870738-001-02-4	CDC	primary-common	SA82378	NA	Biomol International Inc.	NA	EI211	Oc1ccc(\C=C(\C#N)C(=O)OC\C=C\c2ccccc2)cc1O	NA	BRD-K10870738	CDC
BRD-A65671304-001-02-6	candesartan cilextil	primary-common	SA58876	NA	MicroSource Discovery Systems Inc.	NA	1504261	CCOc1nc2cccc(C(=O)OC(C)OC(=O)OC3CCCCC3)c2n1Cc1ccc(cc1)-c1ccccc1-c1nnn[nH]1	NA	BRD-A65671304	candesartan-cilextil
BRD-A96897502-001-02-0	U-74389F	primary-common	SA82151	NA	Biomol International Inc.	NA	FR-100	CC12CC=C3C(CCC4=CC(=O)C=CC34C)C1CC[C@@H]2C(=O)CN1CCN(CC1)c1cc(nc(n1)N1CCCC1)N1CCCC1	NA	BRD-A96897502	U-74389F
BRD-A91699651-316-04-2	chloroquine	INN	SA58221	NA	MicroSource Discovery Systems Inc.	NA	1500179	CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12	NA	BRD-A91699651	chloroquine
BRD-A55962179-001-01-5	omeprazole	primary-common	SA19145	NA	Maybridge	NA	KM 07219	COc1ccc2nc([nH]c2c1)S(=O)Cc1ncc(C)c(OC)c1C	NA	BRD-A55962179	omeprazole
BRD-A84174393-001-02-0	meloxicam	INN	SA58529	NA	MicroSource Discovery Systems Inc.	NA	1504150	CN1C(C(=O)Nc2ncc(C)s2)C(=O)c2ccccc2S1(=O)=O	NA	BRD-A84174393	meloxicam
BRD-K83597974-003-05-7	pargyline	INN	SA83034	NA	Prestwick Chemical Inc.	NA	Prestw-183	CN(CC#C)Cc1ccccc1	NA	BRD-K83597974	pargyline
BRD-K07691486-001-05-6	roscovitine	primary-common	SA82330	NA	Biomol International Inc.	NA	CC205	CC[C@H](CO)Nc1nc(NCc2ccccc2)c2ncn(C(C)C)c2n1	NA	BRD-K07691486	roscovitine
BRD-K93658967-001-01-7	aloisine A	primary-common	SA63328	NA	Calbiochem	NA	128125	CCCCc1c([nH]c2nccnc12)-c1ccc(O)cc1	NA	BRD-K93658967	aloisine
BRD-A51714012-001-02-3	venlafaxine	INN	SA58869	NA	MicroSource Discovery Systems Inc.	NA	1504171	COc1ccc(cc1)C(CN(C)C)C1(O)CCCCC1	NA	BRD-A51714012	venlafaxine
BRD-K07888196-001-01-8	tyrphostin AG 538	primary-common	SA63298	NA	Calbiochem	NA	658403	Oc1ccc(\C=C(/C#N)C(=O)c2ccc(O)c(O)c2)cc1O	NA	BRD-K07888196	tyrphostin-AG-538
BRD-K80738081-001-06-2	resveratrol	primary-common	SA82338	NA	Biomol International Inc.	NA	FR-104	Oc1ccc(cc1)\C=C\c1cc(O)cc(O)c1	NA	BRD-K80738081	resveratrol
BRD-A61899133-002-02-2	cianidanol	INN	SA83504	NA	Prestwick Chemical Inc.	NA	Prestw-817	OC1Cc2c(O)cc(O)cc2OC1c1ccc(O)c(O)c1	NA	BRD-A61899133	catechin
BRD-K81029756-001-02-8	L-cis-DILTIAZEM	to-be-curated	SA82080	NA	Biomol International Inc.	NA	CA-207	COc1ccc(cc1)[C@H]1Sc2ccccc2N(CCN(C)C)C(=O)[C@H]1OC(C)=O	NA	BRD-K81029756	diltiazem
BRD-K79437791-001-02-4	acetyl farnesyl cysteine	common	SA82163	NA	Biomol International Inc.	NA	G-200	CC(=O)N[C@@H](CSC\C=C(/C)CC\C=C(/C)CCC=C(C)C)C(O)=O	NA	BRD-K79437791	acetyl-farnesyl-cysteine
BRD-K94512704-001-01-3	AMI-193	to-be-curated	SA82450	NA	Biomol International Inc.	NA	NS-104	Fc1ccc(OCCCN2CCC3(CC2)N(CNC3=O)c2ccccc2)cc1	NA	BRD-K94512704	spiramide
BRD-K03600606-001-02-3	catechin pentabenzoate	primary-common	SA59675	NA	MicroSource Discovery Systems Inc.	NA	210235	O=C(O[C@H]1Cc2c(OC(=O)c3ccccc3)cc(OC(=O)c3ccccc3)cc2O[C@@H]1c1ccc(OC(=O)c2ccccc2)c(OC(=O)c2ccccc2)c1)c1ccccc1	NA	BRD-K03600606	catechin
BRD-A96485169-001-02-8	ethyl 1-benzyl-4,5-dioxopyrrolidine-3-carboxylate	common	SA58893	NA	MicroSource Discovery Systems Inc.	NA	2300078	CCOC(=O)C1CN(Cc2ccccc2)C(=O)C1=O	NA	BRD-A96485169	EBPC
BRD-K89375097-300-04-7	pirenzepine	INN	SA59333	NA	MicroSource Discovery Systems Inc.	NA	1501138	CN1CCN(CC(=O)N2c3ccccc3C(=O)Nc3cccnc23)CC1	NA	BRD-K89375097	pirenzepine
BRD-A51929314-001-01-4	ICI-185,282	to-be-curated	SA792171	NA	Tocris Bioscience	NA	836	OC(=O)CCCC=CCC1COC(OC1c1ccccc1O)C(F)(F)F	NA	BRD-A51929314	BRD-A51929314
BRD-A77349281-001-02-2	RK-682	common	SA82329	NA	Biomol International Inc.	NA	PR-112	CCCCCCCCCCCCCCCC(=O)C1C(=O)OC(CO)C1=O	NA	BRD-A77349281	RK-682
BRD-K89210380-001-03-8	biotin	INN	SA82750	NA	Prestwick Chemical Inc.	NA	Prestw-418	OC(=O)CCCC[C@@H]1SC[C@@H]2NC(=O)N[C@H]12	NA	BRD-K89210380	biotin
BRD-K92778217-001-04-6	mefenamic acid	INN	SA58962	NA	MicroSource Discovery Systems Inc.	NA	1501103	Cc1cccc(Nc2ccccc2C(O)=O)c1C	NA	BRD-K92778217	mefenamic-acid
BRD-K82255054-001-04-3	propofol	INN	SA83783	NA	Prestwick Chemical Inc.	NA	Prestw-931	CC(C)c1cccc(C(C)C)c1O	NA	BRD-K82255054	propofol
BRD-A73368467-003-02-8	fexofenadine	INN	SA59801	NA	MicroSource Discovery Systems Inc.	NA	1504179	CC(C)(C(O)=O)c1ccc(cc1)C(O)CCCN1CCC(CC1)C(O)(c1ccccc1)c1ccccc1	NA	BRD-A73368467	fexofenadine
BRD-K79145749-001-01-8	DIBENZEPINE	to-be-curated	SA82453	NA	Biomol International Inc.	NA	NS-107	CN(C)CCN1c2ccccc2N(C)c2ccccc2C1=O	NA	BRD-K79145749	dibenzepin
BRD-A92826379-009-02-6	lupanine	primary-common	SA59558	NA	MicroSource Discovery Systems Inc.	NA	1505242	O=C1CCCC2C3CC(CN12)[C@@H]1CCCCN1C3	NA	BRD-A92826379	lupanine
BRD-K03981224-001-02-9	ethisterone	INN	SA83215	NA	Prestwick Chemical Inc.	NA	Prestw-261	C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@]34C)[C@@H]1CC[C@@]2(O)C#C	NA	BRD-K03981224	ethisterone
BRD-K79930101-300-01-1	GW 583340	to-be-curated	SA792775	NA	Tocris Bioscience	NA	2239	CS(=O)(=O)CCNCc1nc(cs1)-c1ccc2ncnc(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)c2c1	NA	BRD-K79930101	GW-583340
BRD-K14888893-001-02-3	minoxidil	INN	SA83120	NA	Prestwick Chemical Inc.	NA	Prestw-20	Nc1cc(nc(=N)n1O)N1CCCCC1	NA	BRD-K14888893	minoxidil
BRD-K06159959-001-01-2	CCMQ	to-be-curated	SA792395	NA	Tocris Bioscience	NA	1238	OC(=O)Cc1cc2ccccc2nc1C(O)=O	NA	BRD-K06159959	CCMQ
BRD-K08996725-313-01-7	zolantidine	primary-common	SA792315	NA	Tocris Bioscience	NA	1070	C(CNc1nc2ccccc2s1)COc1cccc(CN2CCCCC2)c1	NA	BRD-K08996725	zolantidine
BRD-A93206962-001-01-2	L 755507	to-be-curated	SA792760	NA	Tocris Bioscience	NA	2197	CCCCCCNC(=O)Nc1ccc(cc1)S(=O)(=O)Nc1ccc(CCNCC(O)COc2ccc(O)cc2)cc1	NA	BRD-A93206962	L-755507
BRD-K08619838-300-03-2	tremorine	primary-common	SA83093	NA	Prestwick Chemical Inc.	NA	Prestw-331	C(C#CCN1CCCC1)N1CCCC1	NA	BRD-K08619838	tremorine
BRD-A82329351-001-02-2	cycloheximide-N-ethylethanoate	to-be-curated	SA82149	NA	Biomol International Inc.	NA	IM-100	CCOC(=O)CN1C(=O)CC(C[C@@H](O)C2C[C@@H](C)C[C@H](C)C2=O)CC1=O	NA	BRD-A82329351	cycloheximide
BRD-K09416995-001-16-7	lovastatin	INN	SA792533	NA	Tocris Bioscience	NA	1530	CC[C@H](C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@@H]12	NA	BRD-K09416995	lovastatin
BRD-A73859745-236-01-8	glycodesoxycholic acid	primary-common	SA63488	NA	EMD Biosciences	NA	361311	CC(CCC(=O)NCC(O)=O)C1CCC2C3CCC4CC(O)CCC4(C)C3CC(O)C12C	NA	BRD-A73859745	glycodeoxycholic-acid
BRD-K89595132-050-02-2	chlorphenamine	INN	SA58225	NA	MicroSource Discovery Systems Inc.	NA	1500183	CN(C)CC[C@H](c1ccc(Cl)cc1)c1ccccn1	NA	BRD-K89595132	chlorphenamine
BRD-A26334849-001-02-1	propafenone	INN	SA82104	NA	Biomol International Inc.	NA	AC-124	CCCNCC(O)COc1ccccc1C(=O)CCc1ccccc1	NA	BRD-A26334849	propafenone
BRD-A97701745-001-04-6	pindolol	INN	SA58427	NA	MicroSource Discovery Systems Inc.	NA	1500488	CC(C)NCC(O)COc1cccc2[nH]ccc12	NA	BRD-A97701745	pindolol
BRD-K78959463-001-02-5	FPL-64176	primary-common	SA82074	NA	Biomol International Inc.	NA	CA-245	COC(=O)c1c(C)[nH]c(C)c1C(=O)c1ccccc1Cc1ccccc1	NA	BRD-K78959463	FPL-64176
BRD-A83855350-003-01-4	naltrexone	to-be-curated	SA792090	NA	Tocris Bioscience	NA	677	Oc1ccc2CC3N(CC4CC4)CCC45C(Oc1c24)C(=O)CCC35O	NA	BRD-A83855350	naltrexone
BRD-A93000692-001-03-2	ciglitazone	INN	SA792424	NA	Tocris Bioscience	NA	1307	CC1(COc2ccc(CC3SC(=O)NC3=O)cc2)CCCCC1	NA	BRD-A93000692	ciglitazone
BRD-A22783572-065-01-3	vinblastine sulfate	common	SA792405	NA	Tocris Bioscience	NA	1256	CCC1(O)CC2CN(C1)CCc1c([nH]c3ccccc13)C(C2)(C(=O)OC)c1cc2c(cc1OC)N(C)C1C22CCN3CC=CC(CC)(C23)C(C(=O)OC)C1(O)C(=O)OC	NA	BRD-A22783572	vinblastine
BRD-K06426971-001-01-9	Cdk4 inhibitor III	common	SA792941	NA	Tocris Bioscience	NA	2609	Cc1nc2c(s1)C(=O)C=C(Nc1ccc(C)cc1)C2=O	NA	BRD-K06426971	ryuvidine
BRD-K16977723-001-01-0	PP3	common	SA63297	NA	Calbiochem	NA	529574	Nc1ncnc2n(ncc12)-c1ccccc1	NA	BRD-K16977723	PP-3
BRD-K12120659-305-01-4	GR 144053	to-be-curated	SA792411	NA	Tocris Bioscience	NA	1263	NC(=N)c1ccc(cc1)N1CCN(CC1)C1CCN(CC(O)=O)CC1	NA	BRD-K12120659	GR-144053
BRD-K91301684-003-02-2	noscapine	INN	SA58407	NA	MicroSource Discovery Systems Inc.	NA	1500443	COc1ccc2[C@@H](OC(=O)c2c1OC)[C@@H]1N(C)CCc2cc3OCOc3c(OC)c12	NA	BRD-K91301684	noscapine
BRD-K79759585-001-02-1	sildenafil	INN	SA59772	NA	MicroSource Discovery Systems Inc.	NA	1504099	CCCc1nn(C)c2c1nc([nH]c2=O)-c1cc(ccc1OCC)S(=O)(=O)N1CCN(C)CC1	NA	BRD-K79759585	sildenafil
BRD-A70649075-008-04-3	sulconazole	INN	SA59337	NA	MicroSource Discovery Systems Inc.	NA	1501148	Clc1ccc(CSC(Cn2ccnc2)c2ccc(Cl)cc2Cl)cc1	NA	BRD-A70649075	sulconazole
BRD-K96263742-001-02-3	gw 7647	to-be-curated	SA792590	NA	Tocris Bioscience	NA	1677	CC(C)(Sc1ccc(CCN(CCCCC2CCCCC2)C(=O)NC2CCCCC2)cc1)C(O)=O	NA	BRD-K96263742	GW-7647
BRD-K08287586-001-03-6	butylparaben	USAN	SA83696	NA	Prestwick Chemical Inc.	NA	Prestw-894	CCCCOC(=O)c1ccc(O)cc1	NA	BRD-K08287586	butyl-paraben
BRD-A63894585-001-03-4	clobetasol propionate	USAN	SA82732	NA	Prestwick Chemical Inc.	NA	Prestw-781	CCC(=O)OC1([C@@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]12C)C(=O)CCl	NA	BRD-A63894585	clobetasol
BRD-A13964793-001-01-8	TC 1	to-be-curated	SA792973	NA	Tocris Bioscience	NA	2669	OC12C3C4C5C3C(C3C5CC4C13)N2CCc1cccc(F)c1	NA	BRD-A13964793	BRD-A13964793
BRD-A03359064-001-01-5	ICI-89406	to-be-curated	SA792167	NA	Tocris Bioscience	NA	832	OC(CNCCNC(=O)Nc1ccccc1)COc1ccccc1C#N	NA	BRD-A03359064	ICI-89406
BRD-K81225797-001-01-5	SCH 58261	to-be-curated	SA792785	NA	Tocris Bioscience	NA	2270	Nc1nc2n(CCc3ccccc3)ncc2c2nc(nn12)-c1ccco1	NA	BRD-K81225797	SCH-58261
BRD-A30815329-001-03-0	felodipine	INN	SA83351	NA	Prestwick Chemical Inc.	NA	Prestw-478	CCOC(=O)C1=C(C)NC(C)=C(C1c1cccc(Cl)c1Cl)C(=O)OC	NA	BRD-A30815329	felodipine
BRD-A99177642-001-02-5	deltaline	primary-common	SA82860	NA	Prestwick Chemical Inc.	NA	Prestw-673	CCN1C[C@]2(C)CC[C@H](OC)[C@]34[C@@H]2[C@H](OC(C)=O)[C@@]2(OCO[C@@]22C[C@H](OC)[C@H]5C[C@]3(O)[C@@H]2[C@H]5OC)C14	NA	BRD-A99177642	deltaline
BRD-A13650332-236-03-9	flucloxacillin	INN	SA83717	NA	Prestwick Chemical Inc.	NA	Prestw-1011	Cc1onc(c1C(=O)N[C@H]1[C@H]2SC(C)(C)C(N2C1=O)C(O)=O)-c1c(F)cccc1Cl	NA	BRD-A13650332	flucloxacillin
BRD-A03816571-001-01-0	CP 55,940	to-be-curated	SA792241	NA	Tocris Bioscience	NA	949	CCCCCCC(C)(C)c1ccc(C2CC(O)CCC2CCCO)c(O)c1	NA	BRD-A03816571	CP-55940
BRD-A30717181-001-02-7	triamcinolone diacetate	USAN	SA59251	NA	MicroSource Discovery Systems Inc.	NA	1500588	CC(=O)OCC(=O)[C@@]1(O)[C@@H](CC2C3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]12C)OC(C)=O	NA	BRD-A30717181	triamcinolone
BRD-K79131256-001-03-9	albendazole	INN	SA58834	NA	MicroSource Discovery Systems Inc.	NA	1503903	CCCSc1ccc2[nH]c(NC(=O)OC)nc2c1	NA	BRD-K79131256	albendazole
BRD-K97181089-001-02-7	amiloride	INN	SA82057	NA	Biomol International Inc.	NA	CA-200	NC(=N)NC(=O)c1nc(Cl)c(N)nc1N	NA	BRD-K97181089	amiloride
BRD-K98143437-001-01-7	SB 239063	to-be-curated	SA792676	NA	Tocris Bioscience	NA	1962	COc1nccc(n1)-c1c(ncn1C1CCC(O)CC1)-c1ccc(F)cc1	NA	BRD-K98143437	SB-239063
BRD-K88172511-310-03-8	naltrexone	INN	SA83017	NA	Prestwick Chemical Inc.	NA	Prestw-116	Oc1ccc2C[C@H]3N(CC4CC4)CC[C@@]45[C@@H](Oc1c24)C(=O)CC[C@@]35O	NA	BRD-K88172511	naltrexone
BRD-A02759312-003-11-2	betaxolol	INN	SA792210	NA	Tocris Bioscience	NA	906	CC(C)NCC(O)COc1ccc(CCOCC2CC2)cc1	NA	BRD-A02759312	betaxolol
BRD-K17743697-066-01-0	KB-R7943	primary-common	SA63329	NA	EMD Biosciences	NA	420336	NC(=N)SCCc1ccc(OCc2ccc(cc2)[N+]([O-])=O)cc1	NA	BRD-K17743697	KB-R7943
BRD-A11678676-001-02-6	wortmannin	primary-common	SA81851	NA	Biomol International Inc.	NA	ST-415	COC[C@H]1OC(=O)c2coc3c2[C@@]1(C)C1=C(C2CCC(=O)[C@@]2(C)C[C@H]1OC(C)=O)C3=O	NA	BRD-A11678676	wortmannin
BRD-K85119730-001-06-5	tolbutamide	INN	SA82115	NA	Biomol International Inc.	NA	AC-117	CCCCNC(=O)NS(=O)(=O)c1ccc(C)cc1	NA	BRD-K85119730	tolbutamide
BRD-A18497530-001-04-6	5-iodotubercidin	primary-common	SA82285	NA	Biomol International Inc.	NA	EI-293	Nc1ncnc2n(cc(I)c12)C1OC(CO)C(O)C1O	NA	BRD-A18497530	5-iodotubercidin
BRD-K97399794-001-07-0	quercetin	primary-common	SA82325	NA	Biomol International Inc.	NA	AC1142	Oc1cc(O)c2c(c1)oc(-c1ccc(O)c(O)c1)c(O)c2=O	NA	BRD-K97399794	quercetin
BRD-K92073408-001-03-3	norethisterone	INN	SA83220	NA	Prestwick Chemical Inc.	NA	Prestw-253	C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@H]34)[C@@H]1CC[C@@]2(O)C#C	NA	BRD-K92073408	norethisterone
BRD-A11609859-303-01-2	SB-205607	to-be-curated	SA792222	NA	Tocris Bioscience	NA	921	CN1CCC2(Cc3nc4ccccc4cc3CC2C1)c1cccc(O)c1	NA	BRD-A11609859	SB-205607
BRD-K03384561-001-01-9	linomide	to-be-curated	SA792501	NA	Tocris Bioscience	NA	1461	CN(C(=O)c1c(O)c2ccccc2n(C)c1=O)c1ccccc1	NA	BRD-K03384561	roquinimex
BRD-K92758126-001-06-3	gibberellic acid	primary-common	SA83725	NA	Prestwick Chemical Inc.	NA	Prestw-965	C[C@@]12[C@H]3[C@H](C(O)=O)[C@@]45CC(=C)[C@@](O)(C4)CC[C@H]5[C@]3(OC1=O)C=C[C@@H]2O	NA	BRD-K92758126	MD-920
BRD-A12016240-001-01-7	LY-278584	primary-common	SA82526	NA	Biomol International Inc.	NA	AC-849	CN1C2CCC1CC(C2)NC(=O)c1nn(C)c2ccccc12	NA	BRD-A12016240	LY-278584
BRD-A02176148-001-02-2	tubaic acid	common	SA59605	NA	MicroSource Discovery Systems Inc.	NA	1600587	CC(=C)C1Cc2c(O1)ccc(C(O)=O)c2O	NA	BRD-A02176148	tubaic-acid
BRD-K09631521-001-02-4	thiotepa	INN	SA59474	NA	MicroSource Discovery Systems Inc.	NA	1503324	S=P(N1CC1)(N1CC1)N1CC1	NA	BRD-K09631521	thiotepa
BRD-K02590140-001-01-2	O-2050	common	SA792576	NA	Tocris Bioscience	NA	1655	CC1=CC[C@@H]2[C@@H](C1)c1c(O)cc(CC#CCCCNS(C)(=O)=O)cc1OC2(C)C	NA	BRD-K02590140	O-2050
BRD-A08187463-001-03-8	racecadotril	INN	SA83465	NA	Prestwick Chemical Inc.	NA	Prestw-626	CC(=O)SCC(Cc1ccccc1)C(=O)NCC(=O)OCc1ccccc1	NA	BRD-A08187463	racecadotril
BRD-K86301799-001-14-0	dipyridamole	INN	SA792098	NA	Tocris Bioscience	NA	691	OCCN(CCO)c1nc(N2CCCCC2)c2nc(nc(N3CCCCC3)c2n1)N(CCO)CCO	NA	BRD-K86301799	dipyridamole
BRD-A09472452-001-02-8	flecainide	INN	SA82070	NA	Biomol International Inc.	NA	AC-130	FC(F)(F)COc1ccc(OCC(F)(F)F)c(c1)C(=O)NCC1CCCCN1	NA	BRD-A09472452	flecainide
BRD-K05464208-001-01-6	JX-401	primary-common	SA792967	NA	Tocris Bioscience	NA	2657	COc1cc(SC)ccc1C(=O)N1CCC(Cc2ccccc2)CC1	NA	BRD-K05464208	JX-401
BRD-K92577649-001-01-6	GBR 13069	to-be-curated	SA82645	NA	Biomol International Inc.	NA	AC-273	Fc1ccc(cc1)C(OCCN1CCN(C\C=C\c2ccccc2)CC1)c1ccc(F)cc1	NA	BRD-K92577649	GBR-13069
