,similarities_all,similarities_DILI,similarities_noDILI,nn_DILI,nn_noDILI,true_label,predicted_label,correct,probability
225,[0.24511368638243874],[0.17158849219473388],[0.24511368638243874],0,5,0.0,[0.],[1],[[0.77066667 0.22933333]]
226,[0.21842333105491002],[0.11683186378838555],[0.20699475962633856],1,4,0.0,[0.],[1],[[0.86 0.14]]
227,[0.4665841626703794],[0.2932943918826272],[0.4605235566097733],1,4,0.0,[0.],[1],[[0.81466667 0.18533333]]
228,[0.3807237616633229],[0.21344987659720288],[0.3807237616633229],0,5,0.0,[0.],[1],[[0.89066667 0.10933333]]
229,[0.3579761485653934],[0.2690800297448751],[0.3336981858720989],2,3,0.0,[0.],[1],[[0.66266667 0.33733333]]
230,[0.2995603574709378],[0.2549635918844757],[0.2489096181774312],2,3,0.0,[1.],[0],[[0.408 0.592]]
231,[0.42474764661861447],[0.2749603717455974],[0.3969280977464339],1,4,0.0,[0.],[1],[[0.69866667 0.30133333]]
232,[0.2809186201639032],[0.21706749938823394],[0.2809186201639032],0,5,0.0,[0.],[1],[[0.75866667 0.24133333]]
233,[0.3579027675470904],[0.23500558063066027],[0.35651815216247507],1,4,0.0,[0.],[1],[[0.65866667 0.34133333]]
234,[0.233273911232656],[0.17885981920190472],[0.233273911232656],1,4,0.0,[0.],[1],[[0.54533333 0.45466667]]
235,[0.22326084344587288],[0.22326084344587288],[0.17885485580089927],5,0,0.0,[1.],[0],[[0.388 0.612]]
236,[0.31994336865180856],[0.16541377812049227],[0.31994336865180856],0,5,0.0,[0.],[1],[[0.81866667 0.18133333]]
237,[0.24749202006383944],[0.19354536560418914],[0.24582535339717276],1,4,0.0,[0.],[1],[[0.60133333 0.39866667]]
238,[0.5067411684330212],[0.3191303570613916],[0.4738596976205159],2,3,0.0,[0.],[1],[[0.86 0.14]]
239,[0.4973816310106633],[0.2575972371583129],[0.48541581904485137],1,4,0.0,[0.],[1],[[0.90266667 0.09733333]]
240,[0.3126156268877415],[0.259260710553814],[0.302971358113038],1,4,0.0,[0.],[1],[[0.63733333 0.36266667]]
241,[0.20313869108738375],[0.15423418042788514],[0.20236779993721415],1,4,0.0,[0.],[1],[[0.644 0.356]]
242,[0.22621734490601705],[0.15796695475515876],[0.20508537562309642],4,1,0.0,[0.],[1],[[0.75466667 0.24533333]]
243,[0.30755109258557534],[0.24167120812402879],[0.30755109258557534],1,4,0.0,[0.],[1],[[0.708 0.292]]
244,[0.2760049396102527],[0.20750519562663777],[0.2599035899794913],3,2,0.0,[1.],[0],[[0.41733333 0.58266667]]
245,[0.17947285952504166],[0.1263895854366643],[0.17947285952504166],0,5,0.0,[0.],[1],[[0.82933333 0.17066667]]
246,[0.306304274821224],[0.26696576306988207],[0.29312458984981393],2,3,0.0,[0.],[1],[[0.60133333 0.39866667]]
247,[0.17383865173976565],[0.14501138935943456],[0.17036271591088867],1,4,0.0,[0.],[1],[[0.808 0.192]]
248,[0.17668442231933104],[0.1653055776729922],[0.1711056643662121],2,3,0.0,[0.],[1],[[0.51733333 0.48266667]]
249,[0.30600496490327],[0.25809781117419844],[0.29426613798177037],3,2,0.0,[0.],[1],[[0.64 0.36]]
250,[0.33178704363665157],[0.2242629458234499],[0.33178704363665157],0,5,0.0,[0.],[1],[[0.89733333 0.10266667]]
251,[0.266309074028111],[0.21260101010101012],[0.266309074028111],0,5,0.0,[0.],[1],[[0.568 0.432]]
252,[0.3509160519845452],[0.2529798080483012],[0.28303335760655685],3,2,0.0,[1.],[0],[[0.448 0.552]]
253,[0.378053174768735],[0.2559476476081369],[0.35308682656295015],2,3,0.0,[0.],[1],[[0.65466667 0.34533333]]
254,[0.2391434477573398],[0.22081390047309118],[0.2281850928501965],2,3,0.0,[1.],[0],[[0.37466667 0.62533333]]
255,[0.18878356605800212],[0.1868391216135577],[0.1817767174655065],4,1,0.0,[1.],[0],[[0.44533333 0.55466667]]
256,[0.40046337631483153],[0.2582325958641748],[0.32942702254380596],2,3,0.0,[1.],[0],[[0.43066667 0.56933333]]
257,[0.1945086260265267],[0.1838918964603549],[0.1906293156816991],1,4,0.0,[1.],[0],[[0.468 0.532]]
258,[0.3013382988348735],[0.2235014292602287],[0.30035790667801077],1,4,0.0,[0.],[1],[[0.65066667 0.34933333]]
259,[0.2384914605942003],[0.19345895750203954],[0.23589405799679772],1,4,0.0,[0.],[1],[[0.71466667 0.28533333]]
260,[0.24413775266769827],[0.2046612538717802],[0.22654834507829064],2,3,0.0,[0.],[1],[[0.89866667 0.10133333]]
261,[0.2907870490029963],[0.17143493636234108],[0.2907870490029963],0,5,0.0,[0.],[1],[[0.84533333 0.15466667]]
262,[0.24953678035519467],[0.14153640477169888],[0.24953678035519467],0,5,0.0,[0.],[1],[[0.85333333 0.14666667]]
263,[0.4382233402042647],[0.1849237580712269],[0.4382233402042647],0,5,0.0,[0.],[1],[[0.93466667 0.06533333]]
264,[0.33923345445151815],[0.2633939701948391],[0.3354957495334854],1,4,0.0,[0.],[1],[[0.72266667 0.27733333]]
265,[0.26756709956709956],[0.12929718556856235],[0.26756709956709956],0,5,0.0,[0.],[1],[[0.86133333 0.13866667]]
266,[0.21390982199331346],[0.15124867724867724],[0.20805840098796988],2,3,0.0,[0.],[1],[[0.53733333 0.46266667]]
267,[0.4520632370489731],[0.3080256688984074],[0.41552311625518534],1,4,0.0,[0.],[1],[[0.77333333 0.22666667]]
268,[0.31658616525789196],[0.2438773251535964],[0.3162510165356465],1,4,0.0,[0.],[1],[[0.77466667 0.22533333]]
269,[0.2049486234544906],[0.14027620513906652],[0.2049486234544906],0,5,0.0,[0.],[1],[[0.80666667 0.19333333]]
270,[0.2780906654213266],[0.2412621662106198],[0.24011574564312815],2,3,0.0,[0.],[1],[[0.6 0.4]]
271,[0.157040930175964],[0.15257357622407391],[0.14657588788023568],4,1,0.0,[1.],[0],[[0.47333333 0.52666667]]
272,[0.3214542903904606],[0.1888304118535386],[0.29367965367965365],2,3,0.0,[0.],[1],[[0.77066667 0.22933333]]
273,[0.17683991281806571],[0.14429704260793322],[0.17683991281806571],0,5,0.0,[0.],[1],[[0.78666667 0.21333333]]
274,[0.5445537305831424],[0.2716138763197587],[0.5278444381705251],1,4,0.0,[0.],[1],[[0.88133333 0.11866667]]
275,[0.14488866259974378],[0.1251059296094636],[0.13388806827474725],4,1,0.0,[0.],[1],[[0.75333333 0.24666667]]
276,[0.3893837593607497],[0.32142397535510875],[0.3446252915879842],2,3,0.0,[0.],[1],[[0.73866667 0.26133333]]
277,[0.5411185163720662],[0.23038177176629376],[0.5411185163720662],0,5,0.0,[0.],[1],[[0.95466667 0.04533333]]
278,[0.36500401570734053],[0.2514169737181093],[0.36500401570734053],0,5,0.0,[0.],[1],[[0.73066667 0.26933333]]
279,[0.2853503861003861],[0.18277544154751896],[0.2776580784080784],1,4,0.0,[0.],[1],[[0.824 0.176]]
280,[0.3325268817204301],[0.15137613894729643],[0.3325268817204301],0,5,0.0,[0.],[1],[[0.96533333 0.03466667]]
281,[0.42654200542005416],[0.21811398600750903],[0.4010518093416229],1,4,0.0,[0.],[1],[[0.80266667 0.19733333]]
282,[0.4392856867618443],[0.231735671339248],[0.4101745756507332],1,4,0.0,[0.],[1],[[0.78933333 0.21066667]]
283,[0.3831623318921893],[0.30144056816019277],[0.322403403860284],3,2,0.0,[0.],[1],[[0.60666667 0.39333333]]
284,[0.41385645022747547],[0.17796444674406497],[0.41385645022747547],0,5,0.0,[0.],[1],[[0.93333333 0.06666667]]
285,[0.303786562928333],[0.24105728692632003],[0.2926754518172219],1,4,0.0,[0.],[1],[[0.50933333 0.49066667]]
286,[0.23749962207105063],[0.2343192194752297],[0.21598160631774074],3,2,0.0,[0.],[1],[[0.50666667 0.49333333]]
287,[0.28073574024204273],[0.20536173625152393],[0.2553389148452173],1,4,0.0,[0.],[1],[[0.772 0.228]]
288,[0.3139093505564919],[0.23283312580238275],[0.3139093505564919],0,5,0.0,[0.],[1],[[0.71333333 0.28666667]]
289,[0.2427019016658934],[0.2321546449829289],[0.2296237778102909],3,2,0.0,[1.],[0],[[0.38266667 0.61733333]]
290,[0.2194990860193843],[0.1960866519807011],[0.21006357119776314],2,3,0.0,[0.],[1],[[0.704 0.296]]
291,[0.37866303130629536],[0.12926167100781408],[0.3726847704367301],1,4,0.0,[0.],[1],[[0.952 0.048]]
292,[0.15252958833619212],[0.13597239666785135],[0.14794459572685378],2,3,0.0,[0.],[1],[[0.75333333 0.24666667]]
293,[0.31209142964423164],[0.24371709877981038],[0.29926188236596024],2,3,0.0,[0.],[1],[[0.62 0.38]]
294,[0.4204006374835685],[0.19465201465201465],[0.4204006374835685],0,5,0.0,[0.],[1],[[0.928 0.072]]
295,[0.36808104491242627],[0.2578988685285838],[0.36727815450696666],1,4,0.0,[0.],[1],[[0.63733333 0.36266667]]
296,[0.29639613399338494],[0.24491200321357737],[0.29089589548568984],2,3,0.0,[0.],[1],[[0.67333333 0.32666667]]
297,[0.3363966363537302],[0.2192203049332127],[0.315561186780699],3,2,0.0,[0.],[1],[[0.82666667 0.17333333]]
298,[0.39574952561669835],[0.31014867485455716],[0.3870660522273426],1,4,0.0,[0.],[1],[[0.704 0.296]]
299,[0.29809600695957544],[0.24505530673043796],[0.28193057386082543],2,3,0.0,[1.],[0],[[0.488 0.512]]
300,[0.3465477030614646],[0.1738249511301535],[0.3465477030614646],0,5,0.0,[0.],[1],[[0.856 0.144]]
301,[0.4501316732049629],[0.16866150034655142],[0.4501316732049629],0,5,0.0,[0.],[1],[[0.78666667 0.21333333]]
302,[0.4293710437028409],[0.2293992408550242],[0.4252501645819618],1,4,0.0,[0.],[1],[[0.88933333 0.11066667]]
303,[0.3230018657000669],[0.18408303659174738],[0.3230018657000669],0,5,0.0,[0.],[1],[[0.72133333 0.27866667]]
304,[0.2528878217953848],[0.24707250421536134],[0.21051439165409755],3,2,0.0,[1.],[0],[[0.484 0.516]]
305,[0.3972670312143996],[0.37489861016176806],[0.26428616375947045],4,1,0.0,[1.],[0],[[0.352 0.648]]
306,[0.3161615697261845],[0.22088106481734857],[0.29825971544211705],3,2,0.0,[1.],[0],[[0.49333333 0.50666667]]
307,[0.2522300584987152],[0.22399701277206335],[0.24684648684648686],2,3,0.0,[0.],[1],[[0.69733333 0.30266667]]
308,[0.25492276038599265],[0.21343093615245518],[0.25492276038599265],0,5,0.0,[0.],[1],[[0.55733333 0.44266667]]
309,[0.2742793891750249],[0.14597284304461186],[0.2741365320321677],1,4,0.0,[0.],[1],[[0.91733333 0.08266667]]
310,[0.2698498428775735],[0.15367771280051984],[0.26878556020409544],2,3,0.0,[0.],[1],[[0.852 0.148]]
311,[0.19327258619815732],[0.14134659395421884],[0.19327258619815732],0,5,0.0,[0.],[1],[[0.56666667 0.43333333]]
312,[0.25137575270975515],[0.20037316597875604],[0.25137575270975515],0,5,0.0,[0.],[1],[[0.56 0.44]]
313,[0.43145502284178044],[0.14530268883304104],[0.43145502284178044],0,5,0.0,[0.],[1],[[0.91733333 0.08266667]]
314,[0.19223273950122718],[0.1812278024093336],[0.18610521131529537],3,2,0.0,[0.],[1],[[0.644 0.356]]
315,[0.4229815624578027],[0.15254570680102594],[0.4229815624578027],0,5,0.0,[0.],[1],[[0.83733333 0.16266667]]
316,[0.5313669005264161],[0.15674606857038767],[0.5313669005264161],0,5,0.0,[0.],[1],[[0.90266667 0.09733333]]
317,[0.5341991726267973],[0.21987232507612675],[0.5300350575012615],1,4,0.0,[0.],[1],[[0.95066667 0.04933333]]
318,[0.22452734607371258],[0.21324480026850529],[0.21133575369123253],4,1,0.0,[1.],[0],[[0.22933333 0.77066667]]
319,[0.1649640126843774],[0.14125084025705142],[0.1423741315230677],3,2,0.0,[0.],[1],[[0.74666667 0.25333333]]
320,[0.44380010233668765],[0.2458073458073458],[0.43559497413155945],1,4,0.0,[0.],[1],[[0.828 0.172]]
321,[0.3950127085720306],[0.31451115959222076],[0.3343008630364952],2,3,0.0,[1.],[0],[[0.45333333 0.54666667]]
322,[0.1844529017296819],[0.16722576561011415],[0.18157613405291423],1,4,0.0,[1.],[0],[[0.48 0.52]]
323,[0.38067510392038695],[0.227734812980096],[0.37252416052416054],1,4,0.0,[0.],[1],[[0.87866667 0.12133333]]
324,[0.4250907999563462],[0.2808982237881602],[0.4165058275058275],2,3,0.0,[0.],[1],[[0.68 0.32]]
325,[0.35258779764710313],[0.20657230810062113],[0.35258779764710313],0,5,0.0,[0.],[1],[[0.89333333 0.10666667]]
326,[0.5180083615015122],[0.17958022531611248],[0.5180083615015122],0,5,0.0,[0.],[1],[[0.89066667 0.10933333]]
327,[0.585425660855714],[0.1746871561478303],[0.585425660855714],0,5,0.0,[0.],[1],[[0.94 0.06]]
328,[0.200465268986401],[0.18518075342219278],[0.19630112910364378],2,3,0.0,[0.],[1],[[0.54 0.46]]
329,[0.28565091590765523],[0.14028940057963743],[0.2814666875522138],2,3,0.0,[0.],[1],[[0.57333333 0.42666667]]
330,[0.40660030534290365],[0.22017720335528557],[0.3758373471792606],3,2,0.0,[0.],[1],[[0.84266667 0.15733333]]
331,[0.5449771212832959],[0.22045573045573047],[0.5449771212832959],0,5,0.0,[0.],[1],[[0.95466667 0.04533333]]
332,[0.18942929384840684],[0.18099527131736678],[0.1884975145945321],2,3,0.0,[0.],[1],[[0.592 0.408]]
333,[0.31483325590591626],[0.21139661732440249],[0.31483325590591626],0,5,0.0,[0.],[1],[[0.78666667 0.21333333]]
334,[0.2332676132892158],[0.21847025069731071],[0.2207260028528685],2,3,0.0,[1.],[0],[[0.452 0.548]]
335,[0.21466795615731787],[0.19830273601160991],[0.21098258177466103],2,3,0.0,[0.],[1],[[0.584 0.416]]
336,[0.2931626558862621],[0.16801977641248564],[0.2931626558862621],0,5,0.0,[0.],[1],[[0.87333333 0.12666667]]
337,[0.30820512820512824],[0.17458898944193063],[0.3078388278388279],1,4,0.0,[0.],[1],[[0.86133333 0.13866667]]
338,[0.07780467146851028],[0.07780467146851028],[0.05515658802597012],5,0,0.0,[0.],[1],[[0.68666667 0.31333333]]
339,[0.2479923930047631],[0.2237153927584786],[0.2356161616161616],2,3,0.0,[0.],[1],[[0.66133333 0.33866667]]
340,[0.33544108736078904],[0.2682819975185432],[0.3062128443394425],1,4,0.0,[0.],[1],[[0.58666667 0.41333333]]
341,[0.23390468139694143],[0.18352519956814764],[0.23390468139694143],0,5,0.0,[0.],[1],[[0.68533333 0.31466667]]
342,[0.25416453553838914],[0.21236450324136893],[0.25313841613540405],2,3,0.0,[0.],[1],[[0.58 0.42]]
343,[0.19731306876817714],[0.16593740685543965],[0.19561609907120742],1,4,0.0,[0.],[1],[[0.61066667 0.38933333]]
344,[0.29387777048889296],[0.20316273614026423],[0.29387777048889296],0,5,0.0,[0.],[1],[[0.71466667 0.28533333]]
345,[0.3340652844692254],[0.21696755886187594],[0.3340652844692254],0,5,0.0,[0.],[1],[[0.78 0.22]]
346,[0.23155326191779393],[0.20154145921691563],[0.21461073318216176],2,3,0.0,[0.],[1],[[0.684 0.316]]
347,[0.2309787857533015],[0.2248099545844703],[0.19667365747874224],4,1,0.0,[1.],[0],[[0.436 0.564]]
348,[0.3080901123324579],[0.275684576655521],[0.26994782402814144],2,3,0.0,[1.],[0],[[0.49333333 0.50666667]]
349,[0.522673913906382],[0.2004960982920731],[0.522673913906382],0,5,0.0,[0.],[1],[[0.99066667 0.00933333]]
350,[0.2477139285834938],[0.2127732439129498],[0.24684310129757217],1,4,0.0,[0.],[1],[[0.656 0.344]]
351,[0.22391774547624074],[0.18994786479791054],[0.2202651032254455],2,3,0.0,[0.],[1],[[0.62266667 0.37733333]]
352,[0.2599732620320856],[0.2578304048892284],[0.19913533834586467],4,1,0.0,[1.],[0],[[0.40666667 0.59333333]]
353,[0.5067411684330212],[0.3191303570613916],[0.4738596976205159],2,3,0.0,[0.],[1],[[0.82666667 0.17333333]]
354,[0.19584686494308728],[0.17971029162573599],[0.18358558801094807],2,3,0.0,[1.],[0],[[0.488 0.512]]
355,[0.2214026419971351],[0.2182653870951743],[0.1945976216573586],4,1,0.0,[1.],[0],[[0.39333333 0.60666667]]
356,[0.2030789736047572],[0.1634727939247465],[0.18700212830647614],1,4,0.0,[1.],[0],[[0.49866667 0.50133333]]
357,[0.3106852185956664],[0.21217385008429787],[0.2865312457995385],3,2,0.0,[1.],[0],[[0.436 0.564]]
358,[0.24909173864246328],[0.23724441476126867],[0.2329845207526367],3,2,0.0,[1.],[0],[[0.484 0.516]]
359,[0.20714800714800713],[0.18949607919757175],[0.19603875820743294],2,3,0.0,[0.],[1],[[0.572 0.428]]
360,[0.3323693354415146],[0.23306134716908544],[0.3323693354415146],0,5,0.0,[0.],[1],[[0.73733333 0.26266667]]
361,[0.37028831084527286],[0.27558318264014464],[0.3056451822409269],3,2,0.0,[1.],[0],[[0.46533333 0.53466667]]
362,[0.20803117198296323],[0.18578099594237393],[0.1975590878698823],3,2,0.0,[0.],[1],[[0.616 0.384]]
363,[0.203971334240514],[0.1727281021992797],[0.19294952023362535],2,3,0.0,[1.],[0],[[0.47466667 0.52533333]]
364,[0.1594552004240454],[0.12398085334255546],[0.15089625850340135],3,2,0.0,[0.],[1],[[0.824 0.176]]
365,[0.2707274630958292],[0.1998783189858705],[0.24056834471709249],3,2,0.0,[1.],[0],[[0.49866667 0.50133333]]
366,[0.34527531595883654],[0.19517447394939239],[0.3206514497738687],3,2,0.0,[0.],[1],[[0.86 0.14]]
367,[0.136130910224307],[0.1254658618255801],[0.13502044174541744],1,4,0.0,[1.],[0],[[0.46133333 0.53866667]]
368,[0.38669006548088813],[0.22318150529255149],[0.3784236366970642],1,4,0.0,[0.],[1],[[0.832 0.168]]
369,[0.14658083632727137],[0.11565706101443832],[0.13970576242525073],3,2,0.0,[0.],[1],[[0.70533333 0.29466667]]
370,[0.4527589054554496],[0.2378119870826942],[0.4487740857211042],1,4,0.0,[0.],[1],[[0.90933333 0.09066667]]
371,[0.3707142857142857],[0.22730477102480523],[0.3668770764119601],1,4,0.0,[0.],[1],[[0.85466667 0.14533333]]
372,[0.26101819220260003],[0.18997661883344044],[0.26039707419017766],1,4,0.0,[0.],[1],[[0.828 0.172]]
373,[0.17872798788716632],[0.16969683858534032],[0.17213382292941656],3,2,0.0,[1.],[0],[[0.38666667 0.61333333]]
374,[0.37866303130629536],[0.12926167100781408],[0.3726847704367301],1,4,0.0,[0.],[1],[[0.95733333 0.04266667]]
375,[0.2630611854014687],[0.2119021267862698],[0.25272019154997877],2,3,0.0,[0.],[1],[[0.64266667 0.35733333]]
376,[0.3576139251507414],[0.16383948376688845],[0.3576139251507414],0,5,0.0,[0.],[1],[[0.95066667 0.04933333]]
377,[0.17681005859286067],[0.13910650369531657],[0.15877497087356246],1,4,0.0,[1.],[0],[[0.496 0.504]]
378,[0.35231540389435123],[0.20369003218221815],[0.35231540389435123],0,5,0.0,[0.],[1],[[0.74533333 0.25466667]]
379,[0.27781676413255363],[0.2069203213200174],[0.27781676413255363],0,5,0.0,[0.],[1],[[0.75066667 0.24933333]]
380,[0.19677582777238833],[0.1923889596862584],[0.18855911711282694],2,3,0.0,[0.],[1],[[0.54 0.46]]
381,[0.21602298882323584],[0.14579222993545243],[0.21602298882323584],0,5,0.0,[0.],[1],[[0.70933333 0.29066667]]
382,[0.3701472279733149],[0.23402831402831406],[0.3166422466422466],2,3,0.0,[1.],[0],[[0.47466667 0.52533333]]
383,[0.16489392411837417],[0.14045134096874912],[0.16340869205086364],1,4,0.0,[1.],[0],[[0.47333333 0.52666667]]
384,[0.21863010831896337],[0.21183817203225358],[0.1941017872750894],3,2,0.0,[1.],[0],[[0.38266667 0.61733333]]
385,[0.23807108223885515],[0.22239244469720387],[0.2212197742346608],3,2,0.0,[0.],[1],[[0.592 0.408]]
386,[0.3107704402515723],[0.24601176236044658],[0.3107704402515723],0,5,0.0,[0.],[1],[[0.74266667 0.25733333]]
387,[0.18795573055759127],[0.16337036153252862],[0.18795573055759127],0,5,0.0,[1.],[0],[[0.49733333 0.50266667]]
388,[0.20369192211297477],[0.1798694005485177],[0.18218315018315018],2,3,0.0,[0.],[1],[[0.84933333 0.15066667]]
389,[0.19928778467908903],[0.10339455696177088],[0.19928778467908903],0,5,0.0,[0.],[1],[[0.84933333 0.15066667]]
390,[0.522673913906382],[0.2004960982920731],[0.522673913906382],0,5,0.0,[0.],[1],[[0.984 0.016]]
391,[0.2312354205574545],[0.20124252476867693],[0.22431234363437755],1,4,0.0,[0.],[1],[[0.53066667 0.46933333]]
392,[0.3831044598322017],[0.17840669490571787],[0.3831044598322017],0,5,0.0,[0.],[1],[[0.88133333 0.11866667]]
393,[0.3586129032258064],[0.22616293251472172],[0.3537644183773216],1,4,0.0,[0.],[1],[[0.79866667 0.20133333]]
394,[0.21122484864672644],[0.16966624777423905],[0.201254819460972],2,3,0.0,[0.],[1],[[0.71333333 0.28666667]]
395,[0.4075210051383668],[0.2017919860183711],[0.38041570487911447],3,2,0.0,[0.],[1],[[0.884 0.116]]
396,[0.19151508343088533],[0.17416368119818945],[0.18452506605306268],2,3,0.0,[0.],[1],[[0.61066667 0.38933333]]
397,[0.1862731386260798],[0.17059869620001814],[0.18073560319461957],2,3,0.0,[0.],[1],[[0.71866667 0.28133333]]
398,[0.21163696131969062],[0.17803829360109585],[0.16105849897162175],2,3,0.0,[0.],[1],[[0.67733333 0.32266667]]
399,[0.26820130160555694],[0.26231139954544214],[0.23931393670928552],3,2,0.0,[1.],[0],[[0.43333333 0.56666667]]
400,[0.20345277079605437],[0.1875273191310517],[0.19537196271524632],1,4,0.0,[1.],[0],[[0.42133333 0.57866667]]
